media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename,Unnamed: 8
D8,Pink Runtz,0.0,CPA-40Z,5,26.4,1219.0,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,10,29.3,844.1,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,50,39.16666667,272.2333333,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,75,49.23333333,95.45333333,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,75,58.26666667,50.34333333,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Pink Runtz,0.0,CPA-40Z,100,68.83333333,25.02666667,Alien Pink Runtz D8 6-27-23.xlsx,
D8,Rush Cake,0.0,CPA-52Z,1,25.66666667,612000.0,Alien Rush Cake D8 6-27-23.xlsx,
D8,Rush Cake,0.0,CPA-52Z,2,29.43333333,255466.6667,Alien Rush Cake D8 6-27-23.xlsx,
D8,Rush Cake,0.0,CPA-52Z,5,39.2,30796.66667,Alien Rush Cake D8 6-27-23.xlsx,
D8,Rush Cake,0.0,CPA-52Z,25,49.0,5545.666667,Alien Rush Cake D8 6-27-23.xlsx,
D8,Rush Cake,0.0,CPA-40Z,10,60.53333333,358.4,Alien Rush Cake D8 6-27-23.xlsx,
D8,Rush Cake,0.0,CPA-40Z,50,68.8,108.3333333,Alien Rush Cake D8 6-27-23.xlsx,
D8,Sherbert,0.0,CPA-40Z,5,25.33333333,1405.666667,Alien SHERBERT D8 6-27-23.xlsx,
D8,Sherbert,0.0,CPA-40Z,10,29.3,844.1,Alien SHERBERT D8 6-27-23.xlsx,
D8,Sherbert,0.0,CPA-40Z,25,42.93333333,256.0,Alien SHERBERT D8 6-27-23.xlsx,
D8,Sherbert,0.0,CPA-40Z,50,49.66666667,104.4933333,Alien SHERBERT D8 6-27-23.xlsx,
D8,Sherbert,0.0,CPA-40Z,75,59.4,43.48333333,Alien SHERBERT D8 6-27-23.xlsx,
D8,Sherbert,0.0,CPA-40Z,75,65.46666667,30.11333333,Alien SHERBERT D8 6-27-23.xlsx,
Unknown,Unknown,0.0,CPA-52Z,1,24.4,258466.6667,BU2500-Rd146-1 Viscosity oil.xlsx,
Unknown,Unknown,0.0,CPA-52Z,3,29.6,85903.33333,BU2500-Rd146-1 Viscosity oil.xlsx,
Unknown,Unknown,0.0,CPA-52Z,10,39.43333333,10401.0,BU2500-Rd146-1 Viscosity oil.xlsx,
Unknown,Unknown,0.0,CPA-52Z,50,49.26666667,1847.0,BU2500-Rd146-1 Viscosity oil.xlsx,
Unknown,Unknown,0.0,CPA-40Z,50,59.33333333,140.4,BU2500-Rd146-1 Viscosity oil.xlsx,
Unknown,Unknown,0.0,CPA-40Z,100,68.06666667,67.49333333,BU2500-Rd146-1 Viscosity oil.xlsx,
Rosin,Cammamo,0.0,CPA-52Z,1,24.3,121441.3,Cammamo Rosin viscosity7.31.23.xlsx,
Rosin,Cammamo,0.0,CPA-52Z,5,30.1,65880.0,Cammamo Rosin viscosity7.31.23.xlsx,
Rosin,Cammamo,0.0,CPA-52Z,10,39.13333333,12226.66667,Cammamo Rosin viscosity7.31.23.xlsx,
Rosin,Cammamo,0.0,CPA-52Z,50,48.86666667,2788.666667,Cammamo Rosin viscosity7.31.23.xlsx,
Rosin,Cammamo,0.0,CPA-40Z,10,58.6,172.3333333,Cammamo Rosin viscosity7.31.23.xlsx,
Rosin,Cammamo,0.0,CPA-40Z,75,69.0,50.69666667,Cammamo Rosin viscosity7.31.23.xlsx,
Unknown,Tropical,0.0,CPA-40Z,1,24.66666667,16500.0,Cream- Tropical oil.xlsx,
Unknown,Tropical,0.0,CPA-40Z,2,29.66666667,8266.333333,Cream- Tropical oil.xlsx,
Unknown,Tropical,0.0,CPA-40Z,5,39.56666667,4656.333333,Cream- Tropical oil.xlsx,
Unknown,Tropical,0.0,CPA-40Z,5,49.5,2525.333333,Cream- Tropical oil.xlsx,
Unknown,Tropical,0.0,CPA-40Z,15,59.2,804.5333333,Cream- Tropical oil.xlsx,
