media,terpene,terpene_pct,spindle,speed,temperature,viscosity,original_filename
Unknown,Lemon,0.0,CPA-40Z,75,69.13333333333333,59.41333333333333,Alien Lemon 6-29-23.xlsx
D8,Pink Runtz,0.0,CPA-40Z,5,26.399999999999995,1219.0,Alien Pink Runtz D8 6-27-23.xlsx
D8,Pink Runtz,0.0,CPA-40Z,10,29.3,844.1,Alien Pink Runtz D8 6-27-23.xlsx
D8,Pink Runtz,0.0,CPA-40Z,50,39.16666666666666,272.2333333333333,Alien Pink Runtz D8 6-27-23.xlsx
D8,Pink Runtz,0.0,CPA-40Z,75,49.23333333333333,95.45333333333332,Alien Pink Runtz D8 6-27-23.xlsx
D8,Pink Runtz,0.0,CPA-40Z,75,58.26666666666667,50.34333333333333,Alien Pink Runtz D8 6-27-23.xlsx
D8,Pink Runtz,0.0,CPA-40Z,100,68.83333333333333,25.026666666666667,Alien Pink Runtz D8 6-27-23.xlsx
D8,Rush Cake,0.0,CPA-52Z,1,25.666666666666668,612000.0,Alien Rush Cake D8 6-27-23.xlsx
D8,Rush Cake,0.0,CPA-52Z,2,29.433333333333337,255466.66666666663,Alien Rush Cake D8 6-27-23.xlsx
D8,Rush Cake,0.0,CPA-52Z,5,39.2,30796.666666666668,Alien Rush Cake D8 6-27-23.xlsx
D8,Rush Cake,0.0,CPA-52Z,25,49.0,5545.666666666667,Alien Rush Cake D8 6-27-23.xlsx
D8,Rush Cake,0.0,CPA-40Z,10,60.53333333333334,358.40000000000003,Alien Rush Cake D8 6-27-23.xlsx
D8,Rush Cake,0.0,CPA-40Z,50,68.8,108.33333333333331,Alien Rush Cake D8 6-27-23.xlsx
D8,Sherbert,0.0,CPA-40Z,5,25.33333333333333,1405.6666666666667,Alien SHERBERT D8 6-27-23.xlsx
D8,Sherbert,0.0,CPA-40Z,10,29.3,844.1,Alien SHERBERT D8 6-27-23.xlsx
D8,Sherbert,0.0,CPA-40Z,25,42.93333333333334,256.0,Alien SHERBERT D8 6-27-23.xlsx
D8,Sherbert,0.0,CPA-40Z,50,49.66666666666666,104.49333333333334,Alien SHERBERT D8 6-27-23.xlsx
D8,Sherbert,0.0,CPA-40Z,75,59.4,43.48333333333333,Alien SHERBERT D8 6-27-23.xlsx
D8,Sherbert,0.0,CPA-40Z,75,65.46666666666667,30.113333333333333,Alien SHERBERT D8 6-27-23.xlsx
Unknown,Unknown,0.0,CPA-52Z,1,24.399999999999995,258466.66666666663,BU2500-Rd146-1 Viscosity oil.xlsx
Unknown,Unknown,0.0,CPA-52Z,3,29.6,85903.33333333333,BU2500-Rd146-1 Viscosity oil.xlsx
Unknown,Unknown,0.0,CPA-52Z,10,39.43333333333334,10401.0,BU2500-Rd146-1 Viscosity oil.xlsx
Unknown,Unknown,0.0,CPA-52Z,50,49.26666666666667,1847.0,BU2500-Rd146-1 Viscosity oil.xlsx
Unknown,Unknown,0.0,CPA-40Z,50,59.333333333333336,140.4,BU2500-Rd146-1 Viscosity oil.xlsx
Unknown,Unknown,0.0,CPA-40Z,100,68.06666666666666,67.49333333333333,BU2500-Rd146-1 Viscosity oil.xlsx
Rosin,Cammamo,0.0,CPA-52Z,1,24.3,121441.3,Cammamo Rosin viscosity7.31.23.xlsx
Rosin,Cammamo,0.0,CPA-52Z,5,30.1,65880.0,Cammamo Rosin viscosity7.31.23.xlsx
Rosin,Cammamo,0.0,CPA-52Z,10,39.13333333333333,12226.666666666666,Cammamo Rosin viscosity7.31.23.xlsx
Rosin,Cammamo,0.0,CPA-52Z,50,48.86666666666667,2788.6666666666665,Cammamo Rosin viscosity7.31.23.xlsx
Rosin,Cammamo,0.0,CPA-40Z,10,58.6,172.33333333333334,Cammamo Rosin viscosity7.31.23.xlsx
Rosin,Cammamo,0.0,CPA-40Z,75,69.0,50.696666666666665,Cammamo Rosin viscosity7.31.23.xlsx
Unknown,Tropical,0.0,CPA-40Z,1,24.666666666666668,16500.0,Cream- Tropical oil.xlsx
Unknown,Tropical,0.0,CPA-40Z,2,29.666666666666668,8266.333333333334,Cream- Tropical oil.xlsx
Unknown,Tropical,0.0,CPA-40Z,5,39.56666666666666,4656.333333333333,Cream- Tropical oil.xlsx
Unknown,Tropical,0.0,CPA-40Z,5,49.5,2525.333333333333,Cream- Tropical oil.xlsx
Unknown,Tropical,0.0,CPA-40Z,15,59.20000000000001,804.5333333333333,Cream- Tropical oil.xlsx
Unknown,Tropical,0.0,CPA-40Z,20,69.16666666666667,574.1999999999999,Cream- Tropical oil.xlsx
D8,Cream-Blue,0.0,CPA-40Z,0.5,25.066666666666663,16810.0,CREAM-BLUE-D8.xlsx
D8,Cream-Blue,0.0,CPA-40Z,1.0,29.399999999999995,7264.0,CREAM-BLUE-D8.xlsx
D8,Cream-Blue,0.0,CPA-40Z,5.0,39.1,1208.6666666666667,CREAM-BLUE-D8.xlsx
D8,Cream-Blue,0.0,CPA-40Z,15.0,49.5,260.40000000000003,CREAM-BLUE-D8.xlsx
D8,Cream-Blue,0.0,CPA-40Z,45.0,59.53333333333333,74.79666666666667,CREAM-BLUE-D8.xlsx
D8,Cream-Blue,0.0,CPA-40Z,250.0,68.99999999999999,23.75666666666667,CREAM-BLUE-D8.xlsx
D8,Unknown,0.0,CPA-40Z,1,23.933333333333334,10343.333333333334,CREAM-D8 oil.xlsx
D8,Unknown,0.0,CPA-40Z,1,29.96666666666667,6032.666666666667,CREAM-D8 oil.xlsx
D8,Unknown,0.0,CPA-40Z,3,39.93333333333333,1482.6666666666667,CREAM-D8 oil.xlsx
D8,Unknown,0.0,CPA-40Z,10,50.23333333333333,333.1,CREAM-D8 oil.xlsx
D8,Unknown,0.0,CPA-40Z,25,59.400000000000006,102.39,CREAM-D8 oil.xlsx
D8,Unknown,0.0,CPA-40Z,100,68.83333333333334,25.203333333333333,CREAM-D8 oil.xlsx
D8,Grape,0.0,CPA-40Z,0.1,26.2,175433.33333333334,CREAM-Grape-D8.xlsx
D8,Grape,0.0,CPA-40Z,0.2,29.73333333333333,91910.0,CREAM-Grape-D8.xlsx
D8,Grape,0.0,CPA-40Z,1.0,39.1,13183.333333333334,CREAM-Grape-D8.xlsx
D8,Grape,0.0,CPA-40Z,5.0,48.96666666666667,2495.6666666666665,CREAM-Grape-D8.xlsx
D8,Grape,0.0,CPA-40Z,7.0,59.6,585.4666666666667,CREAM-Grape-D8.xlsx
D8,Grape,0.0,CPA-40Z,50.0,68.0,214.83333333333331,CREAM-Grape-D8.xlsx
Unknown,Hhc,0.0,CPA-52Z,5,25.133333333333336,22966.666666666668,CREAM-HHC oil.xlsx
Unknown,Hhc,0.0,CPA-52Z,50,30.33333333333333,10243.333333333334,CREAM-HHC oil.xlsx
Unknown,Hhc,0.0,CPA-52Z,50,39.266666666666666,2238.333333333333,CREAM-HHC oil.xlsx
Unknown,Hhc,0.0,CPA-40Z,25,49.4,157.66666666666666,CREAM-HHC oil.xlsx
Unknown,Hhc,0.0,CPA-40Z,50,59.5,50.75,CREAM-HHC oil.xlsx
Unknown,Hhc,0.0,CPA-40Z,150,69.86666666666667,30.173333333333336,CREAM-HHC oil.xlsx
D8,Gasberry,0.0,CPA-52Z,0.5 RPM,24.8,645600.0,D8 + Gasberry 3.17.23.xlsx
D8,Gasberry,0.0,CPA-52Z,1.0 RPM,31.7,133366.66666666666,D8 + Gasberry 3.17.23.xlsx
D8,Gasberry,0.0,CPA-52Z,10.0 RPM,39.3,26376.666666666668,D8 + Gasberry 3.17.23.xlsx
D8,Gasberry,0.0,CPA-52Z,50.0 RPM,48.96666666666667,4294.666666666667,D8 + Gasberry 3.17.23.xlsx
D8,Gasberry,0.0,CPA-40Z,50.0 RPM,59.6,100.46,D8 + Gasberry 3.17.23.xlsx
D8,Gasberry,0.0,CPA-40Z,200.0 RPM,67.7,8.406666666666666,D8 + Gasberry 3.17.23.xlsx
