media,terpene,terpene_pct,temperature,viscosity
D8+LemonHaze-2mcp-3-15-23,Unknown,0,51440,32.46666666666667
D8+LemonHaze-2mcp-3-15-23,Unknown,0,6382,20.2
D8+LemonHaze-2mcp-3-15-23,Unknown,0,1196,11.366666666666667
D8+LemonHaze-2mcp-3-15-23,Unknown,0,20.93,11.333333333333334
D8+LemonHaze-300kcp-3-15-23,Unknown,0,316700,76.53333333333335
D8+LemonHaze-300kcp-3-15-23,Unknown,0,139700,36.4
D8+LemonHaze-300kcp-3-15-23,Unknown,0,16920,53.9
D8+LemonHaze-300kcp-3-15-23,Unknown,0,2858,18.233333333333334
D8+LemonHaze-606viscosity,Unknown,0,261.6,14.933333333333332
D8+LemonHaze-606viscosity,Unknown,0,82.14,15.733333333333334
D8+LemonHaze-viscosity 1.3MCP,Unknown,0,61.21,11.366666666666665
D8+watermelon-11.13.23-728kcp,Unknown,0,703200,75.86666666666666
D8+watermelon-11.13.23-728kcp,Unknown,0,202400,26.3
D8+watermelon-11.13.23-728kcp,Unknown,0,24610,15.299999999999999
D8+watermelon-11.13.23-728kcp,Unknown,0,1037,20.1
D8+Watermelon-9.23-723kcp,Unknown,0,715400,72.89999999999999
D8+Watermelon-9.23-723kcp,Unknown,0,207200,27.2
D8+Watermelon-9.23-723kcp,Unknown,0,24920,16.3
D8+Watermelon-9.23-723kcp,Unknown,0,4826,15.333333333333334
D8+WatermelonSplash-248kcpviscosity-2.27.23,Unknown,0,238900,31.2
D8+WatermelonSplash-248kcpviscosity-2.27.23,Unknown,0,65250,41.300000000000004
D8+WatermelonSplash-248kcpviscosity-2.27.23,Unknown,0,6906,16.73333333333333
D8+WTRMLNSKTTLS+MWterps-200kcp,Unknown,0,188500,47.949999999999996
D8+WTRMLNSKTTLS+MWterps-200kcp,Unknown,0,63180,40.766666666666666
D8+WTRMLNSKTTLS+MWterps-200kcp,Unknown,0,10210,19.633333333333336
D8+WTRMLNSKTTLS+MWterps-200kcp,Unknown,0,2429,15.233333333333334
D8+WTRMLNSKTTLS+MWterps-200kcp,Unknown,0,661.5,12.6
D8+WTRMLNSKTTLS+MWterps-200kcp,Unknown,0,386.3,7.833333333333333
D9 JH+ TigersBlood-100kcp,Unknown,0,93190,58.46666666666667
D9 JH+ TigersBlood-100kcp,Unknown,0,33660,67.96666666666667
D9 JH+ TigersBlood-100kcp,Unknown,0,5588,37
