media,media_brand,terpene,terpene_pct,temperature,viscosity,timestamp,original_filename
D9,Great White Labs,Sweet Strawberry Cloudburst/ D9 Distillate,,25.0,88583.33333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Sweet Strawberry Cloudburst/ D9 Distillate,,70.0,56.24333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Watermelon Splash Cloudburst/ D9 Distillate,,25.0,42266.666666666664,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs,Watermelon Splash Cloudburst/ D9 Distillate,,70.0,103.06666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs Fruit Punch,Fruit Punch/D9 Distillate,,25.0,86573.33333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
D9,Great White Labs Fruit Punch,Fruit Punch/D9 Distillate,,70.0,90.33999999999999,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Grow Sciences,GMO Cookies/ Live Rosin,,25.0,577866.6666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Grow Sciences,GMO Cookies/ Live Rosin,,70.0,175.96666666666667,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,23.8,9542.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,29.9,4307.333333333333,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,39.6,110.56666666666668,2025-03-13T17:09:33.817107,Media Database V3 2023
Unknown,Grow Sciences,Gary Payton/Decarb Live Hash Rosin,,49.5,76.38999999999999,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Grow Sciences,Live Rosin,,25.0,780566.6666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Grow Sciences,Live Rosin,,70.0,591.3000000000001,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,23.8,31010.0,2025-03-13T17:09:33.817107,Media Database V3 2023
Live Rosin,Hangar 10,Wilson Zero/Decarb Live Rosin,,29.9,15346.666666666666,2025-03-13T17:09:33.817107,Media Database V3 2023
