media,media_brand,terpene,temperature,viscosity,total_potency,terpene_pct,d9_thc,thca,cbd,cbda,d8_thc,cbg,timestamp,original_filename
live rosin,trumed,Live Rosin,50.13333333,1029.333333,0.778190789,,0.718388158,0,0.002368421,0,0,0.033782895,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,trumed,Live Rosin,59.4,313.9666667,0.778190789,,0.718388158,0,0.002368421,0,0,0.033782895,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,mpx,D9 Distillate,23.8,462366.6667,0.850053821,0.042236208,0.800217438,0,0,0,0,0.035724435,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,mpx,D9 Distillate,29.9,94986.66667,0.850053821,0.042236208,0.800217438,0,0,0,0,0.035724435,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,mpx,D9 Distillate,39.6,14043.33333,0.850053821,0.042236208,0.800217438,0,0,0,0,0.035724435,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,mpx,D9 Distillate,49.5,2645.666667,0.850053821,0.042236208,0.800217438,0,0,0,0,0.035724435,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,mpx,D9 Distillate,59.3,551.0666667,0.850053821,0.042236208,0.800217438,0,0,0,0,0.035724435,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,mpx,D9 Distillate,69.1,165.1,0.850053821,0.042236208,0.800217438,0,0,0,0,0.035724435,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,vapen,D9 Distillate,23.8,36866.66667,0.777552776,0.026674487,0.737554859,0,0,0,0,0.031575758,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,vapen,D9 Distillate,29.9,13400,0.777552776,0.026674487,0.737554859,0,0,0,0,0.031575758,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,vapen,D9 Distillate,39.6,2044.666667,0.777552776,0.026674487,0.737554859,0,0,0,0,0.031575758,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,vapen,D9 Distillate,49.5,435.1333333,0.777552776,0.026674487,0.737554859,0,0,0,0,0.031575758,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,vapen,D9 Distillate,59.3,132.1666667,0.777552776,0.026674487,0.737554859,0,0,0,0,0.031575758,2025-03-14T14:04:47.777542,Media Database V3 2023
d9,vapen,D9 Distillate,69.1,41.62666667,0.777552776,0.026674487,0.737554859,0,0,0,0,0.031575758,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,23.8,36156.66667,0.829661961,0.066890893,0.68671485,0.053774327,0,0,0,0.03114728,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,29.9,15876.66667,0.829661961,0.066890893,0.68671485,0.053774327,0,0,0,0.03114728,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,39.6,3058.666667,0.829661961,0.066890893,0.68671485,0.053774327,0,0,0,0.03114728,2025-03-14T14:04:47.777542,Media Database V3 2023
live rosin,nasha hash,GMOB 245A/Decarb Live Rosin,49.5,115.5666667,0.829661961,0.066890893,0.68671485,0.053774327,0,0,0,0.03114728,2025-03-14T14:04:47.777542,Media Database V3 2023
